01/01/2004,51.02423924,ND,34.3137748,ND,47.21711154,ND,56.911,ND,53.318,ND,63.99,ND,
01/08/2007,57.0570919,0.429151484,51.97763079,0.310101763,53.2064983,-0.042205946,59.169,-0.042,56.857,-0.055,63.876,-0.279,
01/09/2007,56.02885896,-1.028232939,51.59678705,-0.380843735,53.2302083,0.023710003,57.505,-1.664,55.701,-1.156,62.452,-1.424,
01/10/2007,56.21527226,0.186413299,53.03653659,1.439749537,52.90681777,-0.323390529,56.925,-0.58,56.308,0.607,61.405,-1.047,
01/11/2007,56.54054303,0.325270769,56.21964055,3.183103962,51.70412266,-1.202695115,55.759,-1.166,57.213,0.905,62.802,1.397,
01/12/2007,55.866394,-0.674149034,51.49770659,-4.721933958,52.67292236,0.968799702,55.937,0.178,57.006,-0.207,61.86,-0.942,
01/01/2008,56.2519687,0.385574702,49.14593538,-2.351771215,52.54074659,-0.13217577,55.668,-0.269,58.071,1.065,63.343,1.483,
01/02/2008,53.45001134,-2.801957363,45.54018235,-3.60575303,49.18731622,-3.353430369,52.987,-2.681,54.648,-3.423,62.558,-0.785,
01/03/2008,52.87996345,-0.570047888,44.0215371,-1.518645246,48.59135087,-0.595965346,55.057,2.07,54.8,0.152,61.702,-0.856,
01/04/2008,50.30779445,-2.572168997,38.98004553,-5.041491571,46.23436974,-2.356981129,53.407,-1.65,52.462,-2.338,61.033,-0.669,
01/05/2008,50.81605215,0.508257696,40.70608509,1.726039561,47.09588426,0.861514512,52.685,-0.722,53.777,1.315,61.564,0.531,
01/06/2008,49.69377115,-1.122281001,40.67111663,-0.03496846,44.95009435,-2.145789904,52.249,-0.436,52.01,-1.767,59.039,-2.525,
01/07/2008,48.53532127,-1.158449874,38.56420282,-2.106913814,44.04149816,-0.908596189,51.503,-0.746,51.919,-0.091,59.099,0.06,
01/08/2008,49.42858118,0.893259912,38.48739036,-0.076812458,43.79135273,-0.250145431,51.992,0.489,52.663,0.744,60.371,1.272,
01/09/2008,46.84880424,-2.579776949,31.10282276,-7.384567596,42.64497217,-1.146380558,50.991,-1.001,50.034,-2.629,59.645,-0.726,
01/10/2008,39.93234601,-6.916458225,21.90557087,-9.197251895,34.38521352,-8.259758654,44.357,-6.634,45.148,-4.886,53.859,-5.786,
01/11/2008,38.29252717,-1.639818843,17.42069018,-4.484880694,33.08718215,-1.298031373,45.732,1.375,42.164,-2.984,53.634,-0.225,
01/12/2008,35.64729642,-2.645230746,9.683403226,-7.73728695,31.19745331,-1.889728837,43.936,-1.796,39.475,-2.689,53.188,-0.446,
01/01/2009,35.3007375,-0.346558924,11.31874613,1.635342902,30.4148239,-0.782629408,42.779,-1.157,37.42,-2.055,51.353,-1.835,
01/02/2009,34.36219075,-0.938546751,7.722015826,-3.596730302,29.59922045,-0.81560345,43.112,0.333,37.112,-0.308,51.583,0.23,
01/03/2009,35.78460099,1.422410243,14.12663892,6.404623093,29.93634872,0.337128263,44.754,1.642,38.218,1.106,51.573,-0.01,
01/04/2009,38.15551461,2.370913616,17.72071232,3.594073406,31.51072606,1.574377344,49.047,4.293,38.022,-0.196,54.86,3.287,
01/05/2009,37.76084536,-0.394669249,17.89850619,0.177793861,31.22297292,-0.287753142,47.058,-1.989,40.717,2.695,54.072,-0.788,
01/06/2009,39.32298111,1.562135753,21.41906409,3.520557903,32.36421887,1.14124595,48.112,1.054,41.252,0.535,54.934,0.862,
